iter	Passed	Remaining
1095	75882	62589
1096	75951	62519
1097	76014	62445
1098	76077	62371
1099	76146	62301
1100	76208	62226
1101	76272	62153
1102	76343	62084
1103	76407	62012
1104	76477	61943
1105	76546	61873
1106	76610	61800
1107	76678	61730
1108	76750	61663
1109	76818	61593
1110	76884	61521
1111	76951	61450
1112	77023	61383
1113	77088	61311
1114	77151	61236
1115	77223	61169
1116	77288	61097
1117	77356	61027
1118	77418	60952
1119	77489	60884
1120	77556	60813
1121	77621	60741
1122	77683	60666
1123	77756	60599
1124	77826	60531
1125	77888	60456
1126	77959	60389
1127	78027	60319
1128	78098	60251
1129	78164	60179
1130	78232	60109
1131	78298	60037
1132	78369	59970
1133	78431	59895
1134	78499	59825
1135	78564	59753
1136	78632	59683
1137	78701	59613
1138	78769	59544
1139	78836	59473
1140	78903	59402
1141	78971	59332
1142	79042	59264
1143	79112	59196
1144	79179	59125
1145	79243	59052
1146	79317	58987
1147	79382	58914
1148	79451	58845
1149	79518	58774
1150	79588	58705
1151	79665	58642
1152	79730	58570
1153	79804	58504
1154	79873	58435
1155	79943	58366
1156	80005	58292
1157	80080	58228
1158	80146	58156
1159	80216	58087
1160	80282	58016
1161	80381	57968
1162	80480	57921
1163	80559	57858
1164	80625	57787
1165	80693	57717
1166	80758	57645
1167	80824	57573
1168	80894	57505
1169	80959	57432
1170	81026	57362
1171	81091	57289
1172	81157	57218
1173	81225	57148
1174	81293	57078
1175	81363	57010
1176	81432	56940
1177	81497	56868
1178	81565	56798
1179	81632	56727
1180	81706	56661
1181	81771	56589
1182	81836	56517
1183	81903	56446
1184	81966	56373
1185	82033	56302
1186	82102	56233
1187	82167	56161
1188	82239	56094
1189	82305	56023
1190	82382	55959
1191	82449	55888
1192	82511	55814
1193	82576	55742
1194	82642	55671
1195	82711	55601
1196	82778	55531
1197	82840	55457
1198	82908	55387
1199	82976	55317
1200	83039	55244
1201	83108	55174
1202	83173	55102
1203	83242	55034
1204	83308	54962
1205	83374	54891
1206	83435	54817
1207	83505	54748
1208	83576	54680
1209	83640	54608
1210	83709	54538
1211	83778	54469
1212	83850	54402
1213	83917	54332
1214	83980	54258
1215	84045	54187
1216	84114	54117
1217	84182	54047
1218	84251	53979
1219	84312	53905
1220	84383	53836
1221	84447	53764
1222	84519	53697
1223	84587	53627
1224	84654	53556
1225	84718	53484
1226	84785	53414
1227	84856	53346
1228	84919	53273
1229	84985	53202
1230	85051	53131
1231	85116	53059
1232	85184	52989
1233	85250	52918
1234	85316	52847
1235	85382	52776
1236	85445	52703
1237	85507	52630
1238	85575	52561
1239	85640	52489
1240	85708	52419
1241	85774	52348
1242	85845	52281
1243	85915	52212
1244	85980	52140
1245	86059	52077
1246	86129	52009
1247	86198	51940
1248	86263	51868
1249	86326	51795
1250	86392	51725
1251	86458	51653
1252	86524	51583
1253	86591	51513
1254	86656	51441
1255	86729	51374
1256	86799	51306
1257	86864	51234
1258	86931	51164
1259	87000	51095
1260	87066	51024
1261	87132	50953
1262	87199	50883
1263	87264	50811
1264	87330	50741
1265	87393	50668
1266	87462	50600
1267	87529	50529
1268	87595	50459
1269	87666	50391
1270	87738	50323
1271	87803	50252
1272	87871	50182
1273	87935	50110
1274	88003	50041
1275	88068	49970
1276	88134	49899
1277	88206	49831
1278	88272	49761
1279	88339	49690
1280	88406	49620
1281	88471	49549
1282	88537	49479
1283	88603	49408
1284	88668	49336
1285	88734	49266
1286	88800	49195
1287	88869	49126
1288	88935	49056
1289	89008	48989
1290	89081	48922
1291	89147	48851
1292	89218	48783
1293	89280	48710
1294	89350	48642
1295	89418	48573
1296	89484	48502
1297	89556	48434
1298	89623	48364
1299	89684	48291
1300	89753	48222
1301	89821	48153
1302	89888	48083
1303	89956	48013
1304	90030	47947
1305	90103	47880
1306	90172	47811
1307	90236	47739
1308	90296	47666
1309	90368	47598
1310	90437	47529
1311	90501	47457
1312	90571	47389
1313	90637	47318
1314	90702	47247
1315	90769	47178
1316	90838	47109
1317	90907	47040
1318	90970	46968
1319	91038	46898
1320	91104	46828
1321	91171	46758
1322	91236	46687
1323	91303	46617
1324	91368	46546
1325	91434	46475
1326	91495	46402
1327	91561	46332
1328	91629	46262
1329	91698	46194
1330	91767	46125
1331	91833	46054
1332	91897	45983
1333	91963	45912
1334	92026	45841
1335	92094	45771
1336	92163	45702
1337	92233	45634
1338	92299	45563
1339	92369	45495
1340	92439	45426
1341	92502	45355
1342	92570	45285
1343	92640	45217
1344	92708	45147
1345	92779	45079
1346	92849	45011
1347	92915	44941
1348	92983	44871
1349	93048	44800
1350	93112	44729
1351	93180	44660
1352	93249	44591
1353	93314	44520
1354	93379	44450
1355	93451	44382
1356	93532	44319
1357	93598	44248
1358	93666	44179
1359	93735	44111
1360	93806	44043
1361	93875	43973
1362	93942	43904
1363	94011	43835
1364	94081	43766
1365	94152	43698
1366	94218	43628
1367	94282	43557
1368	94351	43488
1369	94419	43418
1370	94486	43349
1371	94549	43277
1372	94620	43209
1373	94689	43140
1374	94759	43072
1375	94831	43004
1376	94900	42935
1377	94964	42865
1378	95032	42795
1379	95111	42731
1380	95177	42661
1381	95250	42593
1382	95318	42524
1383	95385	42454
1384	95458	42387
1385	95525	42317
1386	95595	42249
1387	95660	42178
1388	95739	42114
1389	95805	42044
1390	95874	41975
1391	95937	41903
1392	96007	41835
1393	96078	41767
1394	96144	41696
1395	96216	41629
1396	96286	41561
1397	96355	41491
1398	96437	41428
1399	96504	41358
1400	96572	41289
1401	96640	41220
1402	96716	41154
1403	96788	41086
1404	96868	41022
1405	96933	40952
1406	96998	40881
1407	97064	40811
1408	97130	40740
1409	97203	40673
1410	97266	40602
1411	97335	40533
1412	97403	40464
1413	97469	40393
1414	97536	40324
1415	97607	40256
1416	97679	40188
1417	97749	40120
1418	97819	40051
1419	97890	39983
1420	97960	39914
1421	98028	39845
1422	98091	39774
1423	98157	39704
1424	98225	39634
1425	98292	39565
1426	98362	39496
1427	98433	39428
1428	98498	39357
1429	98564	39287
1430	98630	39217
1431	98701	39149
1432	98767	39079
1433	98833	39009
1434	98901	38940
1435	98974	38873
1436	99040	38802
1437	99106	38732
1438	99170	38661
1439	99240	38593
1440	99305	38523
1441	99370	38452
1442	99439	38383
1443	99505	38313
1444	99570	38243
1445	99637	38173
1446	99712	38107
1447	99777	38036
1448	99843	37966
1449	99908	37896
1450	99977	37827
1451	100045	37758
1452	100114	37689
1453	100176	37617
1454	100243	37548
1455	100306	37477
1456	100369	37406
1457	100440	37338
1458	100508	37268
1459	100574	37198
1460	100638	37127
1461	100698	37055
1462	100763	36985
1463	100841	36920
1464	100905	36849
1465	100972	36779
1466	101037	36709
1467	101110	36642
1468	101177	36572
1469	101244	36502
1470	101309	36432
1471	101373	36362
1472	101442	36293
1473	101513	36225
1474	101581	36156
1475	101653	36088
1476	101717	36017
1477	101782	35947
1478	101850	35878
1479	101916	35808
1480	101989	35741
1481	102055	35671
1482	102120	35600
1483	102184	35530
1484	102250	35460
1485	102313	35389
1486	102384	35321
1487	102454	35253
1488	102523	35184
1489	102589	35114
1490	102656	35045
1491	102722	34975
1492	102787	34904
1493	102853	34835
1494	102918	34765
1495	102985	34695
1496	103051	34625
1497	103120	34556
1498	103186	34487
1499	103264	34421
1500	103331	34351
1501	103397	34282
1502	103465	34213
1503	103537	34145
1504	103599	34074
1505	103668	34005
1506	103737	33936
1507	103808	33868
1508	103871	33797
1509	103937	33728
1510	104003	33658
1511	104082	33592
1512	104155	33525
1513	104222	33455
1514	104287	33385
1515	104353	33315
1516	104418	33246
1517	104492	33178
1518	104560	33109
1519	104626	33039
1520	104694	32970
1521	104759	32900
1522	104827	32831
1523	104899	32764
1524	104963	32693
1525	105024	32622
1526	105091	32552
1527	105161	32484
1528	105227	32414
1529	105300	32347
1530	105369	32278
1531	105439	32209
1532	105500	32138
1533	105564	32068
1534	105629	31998
1535	105702	31931
1536	105764	31859
1537	105831	31790
1538	105897	31721
1539	105964	31651
1540	106029	31581
1541	106106	31515
1542	106172	31445
1543	106243	31377
1544	106306	31307
1545	106371	31237
1546	106440	31168
1547	106508	31099
1548	106572	31029
1549	106641	30960
1550	106715	30893
1551	106781	30823
1552	106861	30757
1553	106929	30688
1554	106999	30620
1555	107072	30552
